iter	Passed	Remaining
0	156	155931
1	158	79338
2	161	53805
3	164	40927
4	166	33082
5	168	27884
6	170	24133
7	172	21371
8	174	19165
9	175	17400
10	177	15984
11	180	14835
12	182	13823
13	184	12978
14	186	12224
15	188	11562
16	189	10965
17	191	10439
18	193	9974
19	195	9565
20	197	9195
21	199	8847
22	201	8562
23	203	8271
24	205	8010
25	207	7771
26	209	7552
27	211	7337
28	213	7136
29	214	6948
30	216	6781
31	219	6653
32	223	6553
33	230	6537
34	231	6394
35	234	6286
36	238	6206
37	241	6105
38	243	5988
39	245	5890
40	247	5798
41	252	5750
42	256	5701
43	259	5634
44	267	5670
45	270	5606
46	274	5561
47	277	5495
48	280	5444
49	284	5398
50	286	5323
51	288	5253
52	291	5207
53	293	5140
54	295	5079
55	298	5024
56	301	4981
57	304	4949
58	306	4895
59	310	4861
60	313	4829
61	316	4793
62	319	4752
63	323	4737
64	336	4834
65	338	4787
66	341	4750
67	343	4704
68	345	4665
69	348	4626
70	351	4593
71	354	4565
72	357	4534
73	359	4500
74	363	4485
75	367	4470
76	371	4450
77	374	4421
78	376	4385
79	379	4358
80	381	4326
81	386	4330
82	388	4296
83	391	4273
84	396	4270
85	399	4249
86	401	4213
87	407	4218
88	410	4199
89	412	4172
90	418	4176
91	423	4182
92	425	4151
93	427	4124
94	430	4100
95	432	4075
96	436	4064
97	438	4038
98	441	4014
99	443	3989
100	450	4007
101	452	3982
102	455	3969
103	462	3984
104	466	3972
105	468	3955
106	477	3988
107	480	3970
108	483	3951
109	490	3969
110	493	3954
111	496	3933
112	500	3924
113	502	3905
114	506	3897
115	508	3873
116	512	3865
117	519	3880
118	521	3861
119	524	3846
120	526	3826
121	536	3862
122	538	3836
123	540	3821
124	546	3824
125	548	3806
126	551	3788
127	563	3840
128	567	3833
129	571	3822
130	574	3808
131	599	3940
132	602	3930
133	605	3914
134	608	3900
135	613	3897
136	617	3889
137	619	3872
138	622	3856
139	625	3841
140	627	3823
141	631	3817
142	633	3798
143	638	3797
144	642	3788
145	645	3773
146	648	3760
147	650	3746
148	653	3730
149	657	3724
150	667	3753
151	671	3744
152	673	3728
153	678	3729
154	683	3723
155	697	3775
156	700	3760
157	707	3770
158	710	3760
159	713	3744
160	715	3729
161	718	3714
162	725	3724
163	727	3710
164	731	3699
165	734	3689
166	737	3676
167	739	3664
168	742	3650
169	745	3638
170	748	3630
171	752	3622
172	756	3616
173	760	3609
174	762	3594
175	765	3582
176	767	3568
177	773	3570
178	776	3562
179	779	3549
180	780	3531
181	783	3519
182	787	3513
183	789	3500
184	791	3487
185	794	3475
186	797	3468
187	800	3458
188	804	3450
189	806	3439
190	809	3430
191	812	3418
192	814	3407
193	817	3396
194	820	3388
195	824	3380
196	826	3369
197	829	3359
198	832	3352
199	835	3343
200	838	3332
201	840	3320
202	843	3310
203	846	3303
204	849	3294
205	851	3283
206	854	3272
207	857	3263
208	860	3258
209	865	3255
210	868	3246
211	871	3239
212	875	3235
213	879	3231
214	882	3223
215	886	3216
216	888	3206
217	891	3196
218	894	3191
219	901	3194
220	903	3185
221	906	3176
222	912	3178
223	915	3171
224	918	3162
225	923	3163
226	926	3153
227	928	3142
228	938	3159
229	941	3150
230	944	3144
231	950	3145
232	953	3139
233	956	3132
234	960	3125
235	963	3118
236	967	3115
237	970	3106
238	972	3096
239	974	3087
240	978	3082
241	981	3074
242	985	3068
243	988	3064
244	996	3070
245	1005	3080
246	1010	3079
247	1012	3070
248	1016	3064
249	1022	3066
250	1026	3062
251	1029	3055
252	1033	3050
253	1037	3048
254	1041	3042
255	1045	3037
256	1048	3030
257	1052	3026
258	1055	3020
259	1060	3018
260	1063	3010
261	1065	3002
262	1068	2994
263	1072	2991
264	1076	2984
265	1078	2976
266	1081	2968
267	1084	2960
268	1089	2960
269	1093	2955
270	1095	2947
271	1100	2944
272	1103	2938
273	1105	2929
274	1108	2921
275	1111	2916
276	1114	2908
277	1117	2902
278	1119	2893
279	1122	2885
280	1125	2879
281	1128	2872
282	1130	2864
283	1132	2855
284	1134	2847
285	1137	2841
286	1140	2834
287	1143	2827
288	1146	2820
