iter	Passed	Remaining
0	137	137502
1	138	69329
2	140	46783
3	142	35533
4	144	28707
5	145	24119
6	147	20875
7	148	18412
8	149	16490
9	151	14953
10	153	13795
11	154	12741
12	157	11978
13	160	11286
14	162	10641
15	163	10049
16	164	9518
17	165	9050
18	168	8697
19	170	8338
20	171	7996
21	173	7698
22	175	7454
23	177	7202
24	178	6958
25	180	6748
26	181	6552
27	184	6390
28	185	6220
29	187	6050
30	188	5896
31	190	5763
32	191	5622
33	193	5488
34	195	5395
35	197	5297
36	199	5186
37	201	5089
38	202	4997
39	204	4897
40	205	4804
41	206	4719
42	209	4665
43	212	4612
44	214	4542
45	215	4477
46	218	4431
47	219	4359
48	221	4298
49	224	4257
50	225	4197
51	227	4138
52	229	4095
53	230	4042
54	232	3991
55	233	3941
56	236	3919
57	238	3878
58	241	3848
59	242	3799
60	243	3750
61	244	3703
62	246	3661
63	247	3617
64	250	3596
65	251	3562
66	253	3524
67	254	3483
68	256	3455
69	257	3421
70	258	3385
71	259	3349
72	260	3313
73	262	3278
74	264	3256
75	265	3231
76	267	3203
77	268	3171
78	269	3140
79	270	3113
80	272	3091
81	273	3062
82	274	3029
83	275	3003
84	276	2979
85	278	2962
86	280	2941
87	281	2918
88	282	2894
89	284	2871
90	285	2850
91	286	2826
92	287	2803
93	288	2780
94	290	2762
95	291	2742
96	293	2734
97	295	2721
98	297	2705
99	298	2688
100	300	2671
101	301	2658
102	303	2640
103	304	2624
104	306	2609
105	308	2602
106	310	2590
107	312	2576
108	313	2560
109	314	2546
110	316	2533
111	317	2519
112	319	2505
113	320	2493
114	323	2486
115	324	2475
116	325	2459
117	327	2445
118	328	2433
119	330	2420
120	332	2415
121	333	2402
122	335	2393
123	337	2383
124	339	2374
125	340	2364
126	341	2350
127	343	2341
128	345	2334
129	347	2325
130	349	2315
131	351	2308
132	353	2306
133	355	2297
134	356	2287
135	358	2276
136	361	2278
137	363	2272
138	366	2268
139	368	2265
140	370	2257
141	371	2245
142	373	2238
143	374	2229
144	376	2219
145	378	2213
146	380	2206
147	381	2197
148	383	2188
149	385	2182
150	386	2175
151	388	2166
152	391	2165
153	392	2157
154	394	2151
155	396	2145
156	398	2141
157	400	2134
158	401	2125
159	403	2116
160	404	2107
161	405	2099
162	407	2093
163	410	2090
164	411	2083
165	413	2075
166	414	2067
167	415	2059
168	417	2051
169	418	2043
170	419	2035
171	421	2027
172	423	2024
173	425	2021
174	427	2014
175	428	2006
176	430	2000
177	431	1994
178	433	1986
179	434	1979
180	436	1972
181	438	1968
182	440	1965
183	441	1959
184	443	1952
185	444	1946
186	446	1939
187	447	1932
188	448	1925
189	449	1917
190	451	1913
191	454	1910
192	455	1905
193	457	1898
194	458	1892
195	460	1889
196	462	1884
197	463	1878
198	465	1872
199	467	1869
200	469	1865
201	471	1860
202	472	1854
203	473	1848
204	475	1843
205	476	1837
206	478	1832
207	479	1825
208	482	1824
209	484	1820
210	485	1815
211	486	1809
212	488	1804
213	489	1799
214	491	1793
215	492	1788
216	494	1783
217	496	1781
218	498	1777
219	499	1772
220	501	1766
221	502	1761
222	504	1756
223	505	1750
224	506	1745
225	507	1739
226	509	1733
227	511	1730
228	513	1727
229	514	1722
230	516	1717
231	517	1713
232	519	1711
233	521	1706
234	522	1701
235	524	1698
236	526	1694
237	527	1689
238	528	1684
239	530	1680
240	532	1675
241	533	1672
242	535	1668
243	537	1664
244	539	1662
245	541	1660
246	543	1657
247	545	1652
248	546	1648
249	547	1643
250	549	1638
251	550	1634
252	551	1629
253	553	1626
254	555	1623
255	557	1619
256	558	1615
257	560	1612
258	562	1607
259	563	1603
260	564	1598
261	566	1594
262	567	1591
263	569	1588
264	571	1583
265	572	1579
266	573	1575
267	575	1571
268	576	1567
269	578	1562
270	579	1558
271	580	1554
272	582	1551
273	584	1548
274	586	1546
275	587	1542
276	589	1537
277	590	1532
278	591	1528
279	593	1525
280	594	1520
281	595	1516
282	597	1514
283	599	1512
284	601	1508
285	603	1505
286	604	1502
287	606	1498
288	610	1501
289	614	1503
290	616	1502
291	618	1498
292	619	1494
293	622	1495
294	623	1491
295	625	1487
296	628	1487
297	630	1485
298	633	1484
299	634	1480
300	636	1477
301	637	1473
302	638	1469
303	640	1465
304	643	1466
305	645	1462
306	646	1459
307	648	1455
308	649	1452
309	650	1448
310	652	1444
311	653	1441
312	654	1436
313	658	1437
314	659	1434
315	661	1430
316	662	1426
317	663	1423
318	664	1419
319	666	1415
320	667	1412
321	668	1408
322	670	1406
323	672	1402
324	673	1399
325	675	1396
326	677	1394
327	678	1390
328	680	1387
329	681	1383
330	683	1380
331	686	1380
332	687	1377
333	689	1373
334	690	1370
335	691	1366
336	692	1362
337	693	1358
338	695	1355
339	696	1352
340	698	1350
341	700	1348
342	702	1345
343	703	1341
344	704	1338
345	706	1335
346	707	1332
347	709	1329
348	711	1327
349	714	1326
350	717	1327
351	719	1324
352	721	1321
353	722	1318
354	723	1315
355	725	1312
356	727	1311
357	731	1310
358	732	1308
359	734	1305
360	736	1302
361	737	1299
362	738	1296
363	740	1293
364	743	1293
365	745	1291
366	746	1288
367	748	1284
368	749	1282
369	751	1279
370	752	1275
371	754	1272
372	755	1269
373	758	1268
374	759	1266
375	761	1263
376	763	1261
377	764	1258
378	765	1254
379	767	1252
380	768	1249
381	770	1246
382	773	1245
383	774	1242
384	775	1239
385	777	1236
386	778	1233
387	780	1230
388	781	1227
389	782	1224
390	784	1221
391	785	1218
392	787	1216
393	789	1213
394	790	1210
